04/05/2026|50lb Layer Feed|1|24.50
03/20/2026|50lb Layer Feed|1|24.00
03/05/2026|50lb Layer Feed|1|23.75
02/18/2026|50lb Layer Feed|1|23.50
02/01/2026|50lb Layer Feed|1|23.25
01/15/2026|50lb Layer Feed|1|23.00
12/28/2025|50lb Layer Feed|1|22.75
12/10/2025|50lb Layer Feed|1|22.50
11/22/2025|50lb Layer Feed|1|22.25
11/05/2025|50lb Layer Feed|1|22.00
10/20/2025|50lb Layer Feed|1|21.75
10/05/2025|50lb Layer Feed|1|21.50
09/20/2025|50lb Layer Feed|1|21.25
09/05/2025|50lb Layer Feed|1|21.00
08/20/2025|50lb Layer Feed|1|20.75
08/05/2025|50lb Layer Feed|1|20.50
07/20/2025|50lb Layer Feed|1|20.25
07/05/2025|50lb Layer Feed|1|20.00
06/20/2025|50lb Layer Feed|1|19.75
06/05/2025|50lb Layer Feed|1|19.50
05/20/2025|50lb Layer Feed|1|19.25
05/05/2025|50lb Layer Feed|1|19.00
04/20/2025|50lb Layer Feed|1|18.75
04/05/2025|50lb Layer Feed|1|18.50
